emission_pct nfv price ssree
0.1000 0.360000 1.169258 0
0.1655 0.340345 1.167910 0
0.2310 0.320690 1.166497 0
0.2966 0.301034 1.165015 0
0.3621 0.281379 1.163460 0
0.4276 0.261724 1.161829 0
0.4931 0.242069 1.160116 0
0.5586 0.222414 1.158317 0
0.6241 0.202759 1.156426 0
0.6897 0.183103 1.154437 0
0.7552 0.163448 1.152344 0
0.8207 0.143793 1.150141 0
0.8862 0.124138 1.147818 0
0.9517 0.104483 1.145370 0
1.0172 0.084828 1.142786 0
1.0828 0.065172 1.140056 0
1.1483 0.045517 1.137170 0
1.2138 0.025862 1.134115 0
1.2793 0.006207 1.130879 0
1.3448 -0.013448 1.127445 1
1.4103 -0.033103 1.123798 1
1.4759 -0.052759 1.119917 1
1.5414 -0.072414 1.115782 1
1.6069 -0.092069 1.111368 1
1.6724 -0.111724 1.106646 1
1.7379 -0.131379 1.101584 1
1.8034 -0.151034 1.096143 1
1.8690 -0.170690 1.090279 1
1.9345 -0.190345 1.083936 1
2.0000 -0.210000 1.077049 1
