emission_pct omega ssree_flag
0.2000 0.1000 1
0.3643 0.1000 1
0.5286 0.1000 1
0.6929 0.1000 1
0.8571 0.1000 1
1.0214 0.1000 1
1.1857 0.1000 1
1.3500 0.1000 2
1.5143 0.1000 2
1.6786 0.1000 2
1.8429 0.1000 0
2.0071 0.1000 0
2.1714 0.1000 0
2.3357 0.1000 0
2.5000 0.1000 0
0.2000 0.1607 1
0.3643 0.1607 1
0.5286 0.1607 1
0.6929 0.1607 1
0.8571 0.1607 1
1.0214 0.1607 1
1.1857 0.1607 1
1.3500 0.1607 2
1.5143 0.1607 2
1.6786 0.1607 2
1.8429 0.1607 2
2.0071 0.1607 0
2.1714 0.1607 0
2.3357 0.1607 0
2.5000 0.1607 0
0.2000 0.2214 1
0.3643 0.2214 1
0.5286 0.2214 1
0.6929 0.2214 1
0.8571 0.2214 1
1.0214 0.2214 1
1.1857 0.2214 1
1.3500 0.2214 2
1.5143 0.2214 2
1.6786 0.2214 2
1.8429 0.2214 2
2.0071 0.2214 0
2.1714 0.2214 0
2.3357 0.2214 0
2.5000 0.2214 0
0.2000 0.2821 1
0.3643 0.2821 1
0.5286 0.2821 1
0.6929 0.2821 1
0.8571 0.2821 1
1.0214 0.2821 1
1.1857 0.2821 1
1.3500 0.2821 2
1.5143 0.2821 2
1.6786 0.2821 2
1.8429 0.2821 2
2.0071 0.2821 2
2.1714 0.2821 0
2.3357 0.2821 0
2.5000 0.2821 0
0.2000 0.3429 1
0.3643 0.3429 1
0.5286 0.3429 1
0.6929 0.3429 1
0.8571 0.3429 1
1.0214 0.3429 1
1.1857 0.3429 1
1.3500 0.3429 2
1.5143 0.3429 2
1.6786 0.3429 2
1.8429 0.3429 2
2.0071 0.3429 2
2.1714 0.3429 2
2.3357 0.3429 0
2.5000 0.3429 0
0.2000 0.4036 1
0.3643 0.4036 1
0.5286 0.4036 1
0.6929 0.4036 1
0.8571 0.4036 1
1.0214 0.4036 1
1.1857 0.4036 1
1.3500 0.4036 2
1.5143 0.4036 2
1.6786 0.4036 2
1.8429 0.4036 2
2.0071 0.4036 2
2.1714 0.4036 2
2.3357 0.4036 2
2.5000 0.4036 0
0.2000 0.4643 1
0.3643 0.4643 1
0.5286 0.4643 1
0.6929 0.4643 1
0.8571 0.4643 1
1.0214 0.4643 1
1.1857 0.4643 1
1.3500 0.4643 2
1.5143 0.4643 2
1.6786 0.4643 2
1.8429 0.4643 2
2.0071 0.4643 2
2.1714 0.4643 2
2.3357 0.4643 2
2.5000 0.4643 0
0.2000 0.5250 1
0.3643 0.5250 1
0.5286 0.5250 1
0.6929 0.5250 1
0.8571 0.5250 1
1.0214 0.5250 1
1.1857 0.5250 1
1.3500 0.5250 2
1.5143 0.5250 2
1.6786 0.5250 2
1.8429 0.5250 2
2.0071 0.5250 2
2.1714 0.5250 2
2.3357 0.5250 2
2.5000 0.5250 2
0.2000 0.5857 1
0.3643 0.5857 1
0.5286 0.5857 1
0.6929 0.5857 1
0.8571 0.5857 1
1.0214 0.5857 1
1.1857 0.5857 1
1.3500 0.5857 2
1.5143 0.5857 2
1.6786 0.5857 2
1.8429 0.5857 2
2.0071 0.5857 2
2.1714 0.5857 2
2.3357 0.5857 2
2.5000 0.5857 2
0.2000 0.6464 1
0.3643 0.6464 1
0.5286 0.6464 1
0.6929 0.6464 1
0.8571 0.6464 1
1.0214 0.6464 1
1.1857 0.6464 1
1.3500 0.6464 2
1.5143 0.6464 2
1.6786 0.6464 2
1.8429 0.6464 2
2.0071 0.6464 2
2.1714 0.6464 2
2.3357 0.6464 2
2.5000 0.6464 2
0.2000 0.7071 1
0.3643 0.7071 1
0.5286 0.7071 1
0.6929 0.7071 1
0.8571 0.7071 1
1.0214 0.7071 1
1.1857 0.7071 1
1.3500 0.7071 2
1.5143 0.7071 2
1.6786 0.7071 2
1.8429 0.7071 2
2.0071 0.7071 2
2.1714 0.7071 2
2.3357 0.7071 2
2.5000 0.7071 2
0.2000 0.7679 1
0.3643 0.7679 1
0.5286 0.7679 1
0.6929 0.7679 1
0.8571 0.7679 1
1.0214 0.7679 1
1.1857 0.7679 1
1.3500 0.7679 2
1.5143 0.7679 2
1.6786 0.7679 2
1.8429 0.7679 2
2.0071 0.7679 2
2.1714 0.7679 2
2.3357 0.7679 2
2.5000 0.7679 2
0.2000 0.8286 1
0.3643 0.8286 1
0.5286 0.8286 1
0.6929 0.8286 1
0.8571 0.8286 1
1.0214 0.8286 1
1.1857 0.8286 1
1.3500 0.8286 2
1.5143 0.8286 2
1.6786 0.8286 2
1.8429 0.8286 2
2.0071 0.8286 2
2.1714 0.8286 2
2.3357 0.8286 2
2.5000 0.8286 2
0.2000 0.8893 1
0.3643 0.8893 1
0.5286 0.8893 1
0.6929 0.8893 1
0.8571 0.8893 1
1.0214 0.8893 1
1.1857 0.8893 1
1.3500 0.8893 2
1.5143 0.8893 2
1.6786 0.8893 2
1.8429 0.8893 2
2.0071 0.8893 2
2.1714 0.8893 2
2.3357 0.8893 2
2.5000 0.8893 2
0.2000 0.9500 1
0.3643 0.9500 1
0.5286 0.9500 1
0.6929 0.9500 1
0.8571 0.9500 1
1.0214 0.9500 1
1.1857 0.9500 1
1.3500 0.9500 2
1.5143 0.9500 2
1.6786 0.9500 2
1.8429 0.9500 2
2.0071 0.9500 2
2.1714 0.9500 2
2.3357 0.9500 2
2.5000 0.9500 2
